GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1a.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-14a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1e.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-3a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1e.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-18a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1ee.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-8a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1f.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-4a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1f.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-19a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1ff.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-7a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1g.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-5a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1g.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-20a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1h.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-6a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1i.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-13a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1i.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-40a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1j.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-41a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1j.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-42a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1k.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-43a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1k.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-44a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1l.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-46a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1l.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-47a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1m.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-48a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1m.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-49a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1n.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-50a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1n.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-30a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1o.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-51a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1o.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-31a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1p.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-52a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1q.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-53a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1r.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-21a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1r.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-36a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1s.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-22a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1s.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-37a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1t.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-23a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1t.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-38a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1u.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-24a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1u.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-39a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1v.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-25a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1v.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-32a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1w.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-26a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1w.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-33a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1x.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-27a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1x.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-34a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1y.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-28a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1y.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-35a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1z.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-29a'}}
